1517.300000,3.7020E-008,1517.300000,3.7020E-008,1517.300000,3.7020E-008
1517.350000,6.4190E-010,1517.350000,6.4190E-010,1517.350000,6.4190E-010
1517.400000,-8.1720E-009,1517.400000,-8.1720E-009,1517.400000,-8.1720E-009
1517.450000,4.9460E-008,1517.450000,4.9460E-008,1517.450000,4.9460E-008
1517.500000,4.1890E-008,1517.500000,4.1890E-008,1517.500000,4.1890E-008
1517.550000,1.1530E-008,1517.550000,1.1530E-008,1517.550000,1.1530E-008
1517.600000,1.8830E-008,1517.600000,1.8830E-008,1517.600000,1.8830E-008
1517.650000,-7.0860E-009,1517.650000,-7.0860E-009,1517.650000,-7.0860E-009
1517.700000,3.3900E-008,1517.700000,3.3900E-008,1517.700000,3.3900E-008
1517.750000,6.2400E-008,1517.750000,6.2400E-008,1517.750000,6.2400E-008
1517.800000,2.1430E-009,1517.800000,2.1430E-009,1517.800000,2.1430E-009
1517.850000,1.1300E-008,1517.850000,1.1300E-008,1517.850000,1.1300E-008
1517.900000,5.0410E-009,1517.900000,5.0410E-009,1517.900000,5.0410E-009
1517.950000,1.0990E-009,1517.950000,1.0990E-009,1517.950000,1.0990E-009
1518.000000,2.1760E-008,1518.000000,2.1760E-008,1518.000000,2.1760E-008
1518.050000,5.2700E-009,1518.050000,5.2700E-009,1518.050000,5.2700E-009
1518.100000,5.3710E-008,1518.100000,5.3710E-008,1518.100000,5.3710E-008
1518.150000,2.4490E-008,1518.150000,2.4490E-008,1518.150000,2.4490E-008
1518.200000,5.1810E-008,1518.200000,5.1810E-008,1518.200000,5.1810E-008
1518.250000,-4.8460E-009,1518.250000,-4.8460E-009,1518.250000,-4.8460E-009
1518.300000,6.2400E-008,1518.300000,6.2400E-008,1518.300000,6.2400E-008
1518.350000,2.1020E-008,1518.350000,2.1020E-008,1518.350000,2.1020E-008
1518.400000,1.0130E-008,1518.400000,1.0130E-008,1518.400000,1.0130E-008
1518.450000,8.2780E-010,1518.450000,8.2780E-010,1518.450000,8.2780E-010
1518.500000,2.0820E-008,1518.500000,2.0820E-008,1518.500000,2.0820E-008
1518.550000,9.0380E-008,1518.550000,9.0380E-008,1518.550000,9.0380E-008
1518.600000,3.8170E-008,1518.600000,3.8170E-008,1518.600000,3.8170E-008
1518.650000,2.8140E-008,1518.650000,2.8140E-008,1518.650000,2.8140E-008
1518.700000,2.2540E-008,1518.700000,2.2540E-008,1518.700000,2.2540E-008
1518.750000,-1.6200E-008,1518.750000,-1.6200E-008,1518.750000,-1.6200E-008
1518.800000,3.2590E-008,1518.800000,3.2590E-008,1518.800000,3.2590E-008
1518.850000,-1.5620E-008,1518.850000,-1.5620E-008,1518.850000,-1.5620E-008
1518.900000,3.7670E-008,1518.900000,3.7670E-008,1518.900000,3.7670E-008
1518.950000,3.6260E-009,1518.950000,3.6260E-009,1518.950000,3.6260E-009
1519.000000,1.6560E-008,1519.000000,1.6560E-008,1519.000000,1.6560E-008
1519.050000,3.4640E-008,1519.050000,3.4640E-008,1519.050000,3.4640E-008
1519.100000,2.2720E-008,1519.100000,2.2720E-008,1519.100000,2.2720E-008
1519.150000,7.8420E-010,1519.150000,7.8420E-010,1519.150000,7.8420E-010
